% Moku:FrequencyResponseAnalyzer
% Input 1 - DC coupling  50 Ohm impedance  10 Vpp range  output load 50 Ohm  amplitude 5 mVpp  offset 0.000 0 V
% Input 2 - DC coupling  1 MOhm impedance  10 Vpp range  output load 1 MOhm  amplitude 100 mVpp  offset 0.000 0 V
% Logarithmic sweep  calibration off
% Averaging time 10.00 ms  1 cycles; Settling time 2.000 ms  1 cycles
% Measuring fundamental  phase difference between channels 0.000 deg
% Internal 10 MHz clock
% Acquired 2022-08-23 T 15:54:04 -0700
% Frequency (Hz)  Input 1 Magnitude (dB)  Input 1 Phase (deg)  Input 2 Magnitude (dB)  Input 2 Phase (deg)
5.31977271e+06  -6.3439e+01  -1.3164e+02  -9.7153e+01  1.9676e+01
5.26836733e+06  -7.6052e+01  1.1449e+02  -8.4204e+01  -1.6467e+02
5.21745868e+06  -5.8474e+01  1.1881e+02  -8.9401e+01  -1.4878e+02
5.16704196e+06  -5.8261e+01  1.7719e+02  -8.5974e+01  -1.1070e+02
5.11711243e+06  -5.4571e+01  3.3182e+01  -8.5844e+01  8.2127e+01
5.06766537e+06  -6.4912e+01  -1.1213e+02  -8.2560e+01  -6.0005e+01
5.01869612e+06  -6.3124e+01  -9.7985e+01  -8.9993e+01  -1.1134e+02
4.97020006e+06  -6.7021e+01  -1.2972e+02  -8.6983e+01  1.1053e+02
4.92217263e+06  -5.8599e+01  1.4263e+02  -8.7241e+01  -1.5938e+02
4.87460928e+06  -5.6650e+01  6.8743e+01  -8.5005e+01  1.1389e+02
4.82750555e+06  -6.2138e+01  -5.3001e+01  -9.0488e+01  -7.0717e+01
4.78085698e+06  -5.5708e+01  -4.2139e+01  -8.6646e+01  1.4543e+02
4.73465918e+06  -6.1103e+01  -1.6333e+02  -8.3514e+01  5.2029e+01
4.68890780e+06  -5.8261e+01  -1.7207e+02  -9.0305e+01  -1.4785e+02
4.64359851e+06  -5.6201e+01  6.6928e+01  -9.0962e+01  -7.2076e+01
4.59872705e+06  -6.7229e+01  -1.0346e+02  -8.5145e+01  -1.3613e+02
4.55428919e+06  -5.7352e+01  9.4299e+01  -1.1113e+02  -6.6522e+01
4.51028073e+06  -6.3715e+01  -1.3937e+02  -8.5245e+01  1.3460e+02
4.46669754e+06  -5.7532e+01  -3.9142e+01  -8.6900e+01  1.1845e+02
4.42353549e+06  -6.1484e+01  -1.5735e+02  -8.6835e+01  -3.7379e+01
4.38079051e+06  -6.4552e+01  5.3484e+01  -8.8752e+01  -1.7645e+02
4.33845859e+06  -6.7229e+01  5.9765e+01  -8.6464e+01  1.0628e+02
4.29653572e+06  -6.2778e+01  9.2470e+01  -9.3004e+01  -2.2876e+01
4.25501796e+06  -5.5435e+01  -1.0305e+02  -8.2274e+01  1.5855e+02
4.21390138e+06  -7.9062e+01  -8.8456e+01  -8.8277e+01  -2.8713e+01
4.17318212e+06  -6.4114e+01  9.2247e+00  -8.6524e+01  2.6992e+01
4.13285633e+06  -6.5083e+01  3.3191e+01  -9.2808e+01  -1.0771e+02
4.09292022e+06  -5.7562e+01  1.5913e+02  -8.9519e+01  -4.7886e+01
4.05337000e+06  -5.8955e+01  -7.8576e+01  -8.8556e+01  1.2319e+02
4.01420197e+06  -6.0596e+01  6.1321e+01  -9.0164e+01  -3.7890e+01
3.97541242e+06  -5.8718e+01  1.1139e+02  -9.0602e+01  -6.2638e+01
3.93699770e+06  -7.6052e+01  -1.5130e+02  -8.5416e+01  4.9506e+00
3.89895418e+06  -5.6292e+01  -1.7966e+02  -9.1839e+01  -3.1280e+01
3.86127827e+06  -6.2988e+01  -6.6179e+01  -9.4601e+01  9.5386e+01
3.82396644e+06  -6.8093e+01  -1.2171e+02  -1.0414e+02  -1.4015e+02
3.78701515e+06  -5.8599e+01  -1.7454e+02  -8.2701e+01  -7.8661e+01
3.75042092e+06  -5.6907e+01  1.7223e+02  -8.5005e+01  -1.7542e+02
3.71418031e+06  -6.1902e+01  2.5652e+01  -8.3825e+01  5.1910e+01
3.67828989e+06  -5.8225e+01  -1.6244e+02  -8.1678e+01  1.0203e+02
