% Moku:FrequencyResponseAnalyzer
% Input 1 - DC coupling  50 Ohm impedance  10 Vpp range  output load 50 Ohm  amplitude 5 mVpp  offset 0.000 0 V
% Input 2 - DC coupling  1 MOhm impedance  10 Vpp range  output load 1 MOhm  amplitude 100 mVpp  offset 0.000 0 V
% Logarithmic sweep  calibration off
% Averaging time 10.00 ms  1 cycles; Settling time 2.000 ms  1 cycles
% Measuring fundamental  phase difference between channels 0.000 deg
% Internal 10 MHz clock
% Acquired 2022-08-23 T 15:54:04 -0700
% Frequency (Hz)  Input 1 Magnitude (dB)  Input 1 Phase (deg)  Input 2 Magnitude (dB)  Input 2 Phase (deg)
8.08703531e+05  -2.9578e+00  -1.2335e+02  -8.3636e+01  7.9759e+01
8.00888965e+05  -8.3741e-01  -9.6446e+01  -8.8580e+01  -1.1826e+01
7.93149912e+05  -3.9865e-01  -8.2892e+01  -8.8829e+01  5.5509e+01
7.85485642e+05  1.6150e+00  -4.1016e+01  -8.6479e+01  -1.4994e+02
7.77895432e+05  1.6125e+00  -4.5544e+00  -9.3004e+01  2.0383e+01
7.70378567e+05  -5.4286e-01  4.1682e+01  -8.7952e+01  1.0595e+02
7.62934338e+05  -4.0949e+00  5.6197e+01  -8.4525e+01  -3.4312e+00
7.55562043e+05  -7.2716e+00  9.5284e+01  -8.3469e+01  2.4244e+01
7.48260988e+05  -1.1815e+01  6.6708e+01  -8.6290e+01  1.2498e+02
7.41030483e+05  -1.1385e+01  9.2601e+01  -8.4650e+01  7.9182e+01
7.33869847e+05  -9.8463e+00  1.0405e+02  -8.2808e+01  1.4819e+01
7.26778404e+05  -8.6887e+00  1.2946e+02  -8.7460e+01  -1.0156e+02
7.19755487e+05  -8.2443e+00  1.7062e+02  -9.1639e+01  7.8386e+01
7.12800433e+05  -1.4022e+01  -1.3782e+02  -9.2561e+01  9.3286e-01
7.05912586e+05  -2.1297e+01  -1.3125e+02  -8.3113e+01  -1.2767e+02
6.99091297e+05  -2.1962e+01  -1.2482e+02  -8.6014e+01  -2.5511e+01
6.92335923e+05  -1.4315e+01  -1.2668e+02  -8.1195e+01  -1.2622e+02
6.85645826e+05  -1.1653e+01  -9.1093e+01  -8.7749e+01  1.0588e+02
6.79020376e+05  -1.0140e+01  -4.7885e+01  -8.3470e+01  1.0931e+02
6.72458949e+05  -1.1854e+01  7.0331e+00  -8.6901e+01  5.3953e+01
6.65960925e+05  -2.0992e+01  6.9032e+01  -8.1885e+01  -9.3483e+01
6.59525692e+05  -2.1884e+01  -4.2579e+01  -7.9978e+01  3.7736e+01
6.53152643e+05  -1.3899e+01  -7.0294e+01  -8.3345e+01  1.4386e+02
6.46841178e+05  -6.7521e+00  -3.1163e+01  -8.9520e+01  4.6446e+01
6.40590700e+05  -4.1612e+00  6.3662e+00  -8.5058e+01  1.0471e+02
6.34400622e+05  -2.8880e+00  5.8871e+01  -8.7612e+01  -1.2249e+01
6.28270359e+05  -4.2008e+00  7.5524e+01  -9.3004e+01  -1.9769e+01
6.22199333e+05  -5.8046e+00  1.1203e+02  -8.6177e+01  -7.1961e+00
6.16186971e+05  -7.9505e+00  1.6866e+02  -8.0503e+01  -1.1222e+02
6.10232708e+05  -3.1860e+01  1.4645e+02  -8.6480e+01  -1.6123e+02
6.04335981e+05  -1.2806e+01  1.0993e+02  -8.4602e+01  -4.2926e+01
5.98496235e+05  -1.0926e+01  -1.6931e+02  -8.5369e+01  -8.5941e+01
5.92712918e+05  -1.3657e+01  -5.5714e+01  -8.9995e+01  -1.3931e+01
5.86985487e+05  -1.0445e+01  -2.5501e+00  -8.3004e+01  1.1652e+02
5.81313400e+05  -3.5337e+00  6.0456e+01  -9.3891e+01  -1.5849e+02
5.75696122e+05  -2.3954e+00  1.3884e+02  -1.0113e+02  1.0866e+02
5.70133125e+05  -4.0234e+00  -7.9177e+01  -7.6292e+01  9.1322e+01
5.64623884e+05  -5.3627e+00  5.3404e+00  -8.6392e+01  -6.3624e+01
5.59167879e+05  -3.8785e+00  3.2434e+01  -9.3280e+01  -3.7728e+00
5.53764595e+05  -5.1503e+00  7.1595e+01  -8.5370e+01  -4.2427e+01
5.48413524e+05  -3.0364e+00  7.2306e+01  -7.9667e+01  9.1225e+01
5.43114161e+05  -1.0760e+00  8.1257e+01  -8.1525e+01  -1.7922e+02
5.37866006e+05  1.5238e+00  9.5407e+01  -9.0963e+01  4.5970e+01
5.32668565e+05  5.0826e+00  1.2185e+02  -8.9286e+01  4.8361e+01
5.27521346e+05  5.3459e+00  1.6011e+02  -8.3005e+01  8.4335e+00
5.22423866e+05  3.6042e+00  -1.7487e+02  -8.6291e+01  -4.3094e+01
5.17375643e+05  2.6189e+00  -1.7077e+02  -8.7154e+01  -9.1355e+01
5.12376201e+05  2.7862e+00  -1.4739e+02  -8.2097e+01  -8.8988e+01
5.07425069e+05  2.6679e+00  -1.2617e+02  -8.5006e+01  1.7979e+02
5.02521781e+05  3.4107e-02  -1.0191e+02  -9.5819e+01  6.3346e+01
4.97665873e+05  -8.0534e+00  -1.1908e+02  -8.9174e+01  -2.9320e+01
4.92856889e+05  -8.6138e+00  -1.3767e+02  -9.1839e+01  -8.8416e+00
4.88094374e+05  -5.3556e-02  -1.5470e+02  -8.2251e+01  -6.2414e+00
4.83377879e+05  -2.1784e+00  -1.2408e+02  -8.4041e+01  -1.3851e+01
4.78706961e+05  -2.8055e+00  -1.3336e+02  -8.0964e+01  2.3723e+01
4.74081177e+05  6.3829e-01  -1.3206e+02  -8.9490e+01  1.4499e+02
4.69500094e+05  3.1507e-01  -1.1269e+02  -8.6292e+01  1.0701e+02
4.64963277e+05  -8.1632e-01  -1.0173e+02  -8.8985e+01  -8.6976e+00
4.60470300e+05  -7.8528e-01  -9.9475e+01  -8.2853e+01  -8.7880e+01
4.56020739e+05  -3.0569e+00  -1.0051e+02  -8.0881e+01  -1.3999e+02
4.51614175e+05  -6.2496e-01  -1.1098e+02  -8.2537e+01  -1.0289e+02
4.47250192e+05  -9.6773e-01  -1.0994e+02  -8.1640e+01  -4.7609e+01
4.42928378e+05  3.2050e+00  -1.0990e+02  -8.7260e+01  -1.1263e+01
4.38648326e+05  2.5576e+00  -9.3797e+01  -8.3699e+01  -4.9469e+01
4.34409632e+05  5.9457e+00  -1.0232e+02  -9.0882e+01  -3.2952e+01
4.30211898e+05  8.3066e+00  -9.2909e+01  -9.3892e+01  -1.6822e+02
4.26054726e+05  9.9998e+00  -7.4965e+01  -9.6510e+01  -1.7435e+02
4.21937726e+05  1.0539e+01  -5.2728e+01  -8.7035e+01  -1.5639e+02
4.17860508e+05  9.7832e+00  -3.9417e+01  -8.0144e+01  4.3316e+01
4.13822689e+05  1.1198e+01  -3.4777e+01  -8.7261e+01  7.6861e+01
4.09823888e+05  1.0137e+01  -3.6573e+00  -8.1840e+01  5.7373e+01
4.05863727e+05  8.3086e+00  -2.0789e+00  -8.2059e+01  6.5443e+01
4.01941834e+05  7.5359e+00  -4.0981e-01  -9.3005e+01  1.0878e+02
3.98057838e+05  7.9397e+00  1.0216e+01  -8.5370e+01  1.7114e+02
3.94211374e+05  5.6691e+00  3.3290e-01  -8.3501e+01  2.0639e+01
3.90402078e+05  5.8778e+00  -3.7538e+00  -8.0690e+01  8.2422e+01
3.86629592e+05  8.6909e+00  -1.3377e+01  -8.6710e+01  8.2179e+01
3.82893560e+05  1.2515e+01  7.7820e+00  -9.2808e+01  -1.6936e+02
3.79193629e+05  1.1602e+01  1.5896e+01  -7.8806e+01  -7.7171e+00
3.75529451e+05  1.0546e+01  2.2051e+01  -8.8124e+01  1.2233e+02
3.71900681e+05  1.1482e+01  1.7950e+01  -7.7701e+01  -9.2600e+01
3.68306975e+05  1.4134e+01  2.1596e+01  -8.2966e+01  6.2394e+01
3.64747996e+05  1.5721e+01  3.7280e+01  -8.8462e+01  -1.2523e+01
3.61223407e+05  1.7609e+01  5.0788e+01  -8.0073e+01  9.5349e+01
3.57732877e+05  1.8157e+01  6.8340e+01  -8.3637e+01  -4.5937e+00
3.54276076e+05  1.8721e+01  9.6156e+01  -1.0113e+02  -8.5605e+01
3.50852678e+05  1.5706e+01  1.1862e+02  -8.4313e+01  -2.4239e+01
3.47462361e+05  1.3713e+01  1.2246e+02  -9.3974e+01  -1.0130e+02
3.44104805e+05  1.1175e+01  1.1845e+02  -8.6467e+01  1.0546e+02
3.40779693e+05  1.1224e+01  1.1297e+02  -8.2360e+01  1.6885e+02
3.37486712e+05  1.1320e+01  1.1508e+02  -8.2530e+01  -1.4318e+02
3.34225551e+05  1.0293e+01  1.1564e+02  -8.8631e+01  3.4532e+01
3.30995903e+05  9.3216e+00  9.6923e+01  -8.8984e+01  1.4999e+02
3.27797464e+05  1.2493e+01  9.1548e+01  -7.8426e+01  1.1644e+02
3.24629931e+05  1.4838e+01  9.4987e+01  -8.5820e+01  -5.6552e+01
3.21493006e+05  1.6337e+01  1.0762e+02  -8.9766e+01  4.0700e+01
3.18386394e+05  1.6965e+01  1.1792e+02  -8.3965e+01  1.3933e+02
3.15309801e+05  1.6583e+01  1.2612e+02  -8.0198e+01  -1.0427e+02
3.12262938e+05  1.7609e+01  1.1873e+02  -7.8148e+01  -1.1215e+02
3.09245516e+05  1.9803e+01  1.2347e+02  -7.9758e+01  2.3022e+01
3.06257252e+05  2.1288e+01  1.4025e+02  -8.1670e+01  -1.7992e+02
3.03297864e+05  2.1836e+01  1.4687e+02  -7.8869e+01  -2.7430e+01
3.00367073e+05  2.1174e+01  1.6632e+02  -9.3005e+01  -4.0899e+01
2.97464602e+05  2.0782e+01  1.5590e+02  -8.7690e+01  -9.0485e+01
2.94590178e+05  2.3171e+01  1.5604e+02  -8.2608e+01  -1.4802e+02
2.91743530e+05  2.4775e+01  1.7218e+02  -8.0685e+01  6.0148e+01
2.88924389e+05  2.5394e+01  1.7768e+02  -8.5247e+01  1.7466e+02
2.86132490e+05  2.7217e+01  -1.7427e+02  -8.8279e+01  4.8695e+01
2.83367569e+05  2.8374e+01  -1.6155e+02  -8.5017e+01  -1.7027e+02
2.80629366e+05  3.1208e+01  -1.5669e+02  -8.5621e+01  1.6608e+02
2.77917623e+05  3.3791e+01  -1.2245e+02  -8.3975e+01  1.4578e+02
2.75232083e+05  3.2438e+01  -8.7608e+01  -7.9302e+01  -1.5933e+02
2.72572493e+05  3.0535e+01  -6.8726e+01  -9.7154e+01  -1.6244e+02
2.69938604e+05  2.8244e+01  -5.4730e+01  -8.2321e+01  -2.9074e+01
2.67330166e+05  2.6130e+01  -5.2759e+01  -8.9996e+01  9.1972e+01
2.64746933e+05  2.6775e+01  -5.3684e+01  -8.2531e+01  -5.7871e+01
2.62188663e+05  2.7240e+01  -3.4865e+01  -8.4650e+01  1.3833e+02
2.59655113e+05  2.5605e+01  -1.6245e+01  -8.8830e+01  -1.5887e+02
2.57146045e+05  2.2650e+01  -7.9944e+00  -8.1725e+01  -1.3947e+02
2.54661223e+05  2.0752e+01  -1.1865e+01  -8.1095e+01  -1.0177e+02
2.52200411e+05  2.0270e+01  -1.6776e+01  -8.1291e+01  1.9943e+01
2.49763379e+05  2.0963e+01  -1.7476e+01  -8.9767e+01  3.6078e+01
2.47349895e+05  2.0926e+01  -7.6610e+00  -7.6526e+01  2.5577e+01
2.44959734e+05  2.0204e+01  -2.3065e+00  -8.7035e+01  1.0221e+02
2.42592669e+05  1.9791e+01  5.2966e-01  -8.5059e+01  -1.0932e+01
2.40248476e+05  1.9146e+01  4.9035e+00  -9.6511e+01  1.7368e+02
2.37926936e+05  1.8162e+01  4.2820e+00  -8.5236e+01  1.3580e+02
2.35627830e+05  1.7724e+01  1.4668e+00  -8.3893e+01  -1.6233e+02
2.33350939e+05  1.9224e+01  -4.3535e+00  -8.2050e+01  3.3472e+01
2.31096051e+05  2.1297e+01  2.7874e-01  -8.2140e+01  1.2140e+02
2.28862951e+05  2.1311e+01  1.5247e+01  -7.8137e+01  1.6070e+02
2.26651431e+05  2.1364e+01  2.5299e+01  -8.2537e+01  -2.7382e+01
2.24461280e+05  2.0636e+01  3.3071e+01  -8.0964e+01  9.7339e+01
2.22292293e+05  2.0379e+01  3.6765e+01  -8.3801e+01  1.2979e+02
2.20144265e+05  2.0162e+01  3.8063e+01  -8.4740e+01  3.0885e+01
2.18016994e+05  2.1479e+01  3.8148e+01  -9.0064e+01  -3.0951e+01
2.15910278e+05  2.2402e+01  4.4020e+01  -8.4946e+01  -8.7397e+01
2.13823920e+05  2.5112e+01  5.4365e+01  -8.0702e+01  -1.2000e+02
2.11757723e+05  2.6308e+01  7.7818e+01  -8.0046e+01  -9.9343e+01
2.09711491e+05  2.6809e+01  1.0776e+02  -7.8738e+01  1.6326e+02
2.07685032e+05  2.4325e+01  1.3507e+02  -8.7313e+01  1.1831e+02
2.05678156e+05  2.2436e+01  1.5031e+02  -8.6647e+01  -9.4100e+01
2.03690671e+05  1.9880e+01  -1.7864e+02  -9.5005e+01  -1.2821e+02
2.01722392e+05  1.4810e+01  -1.6451e+02  -8.0995e+01  -1.6165e+02
1.99773133e+05  9.4272e+00  -1.6117e+02  -8.9767e+01  -1.4714e+02
1.97842709e+05  4.9112e+00  -1.7696e+02  -8.2778e+01  -1.2070e+02
1.95930940e+05  4.1138e+00  1.6061e+02  -8.9177e+01  1.3124e+02
1.94037643e+05  5.0971e+00  1.6737e+02  -8.0502e+01  -5.3192e+01
1.92162642e+05  -1.2385e-01  1.7870e+02  -9.1641e+01  -1.9622e+01
1.90305760e+05  -1.0450e-01  1.3579e+02  -8.8282e+01  1.3252e+02
1.88466820e+05  3.5630e+00  1.5477e+02  -8.2225e+01  -1.5332e+02
1.86645650e+05  3.3251e+00  -1.6434e+02  -7.9826e+01  -1.0353e+01
1.84842079e+05  1.0366e+00  -1.2890e+02  -8.4771e+01  4.7129e+01
1.83055935e+05  5.5100e+00  -8.4097e+01  -7.7936e+01  -1.5812e+02
1.81287051e+05  7.2310e+00  -3.2506e+01  -9.5570e+01  1.1682e+01
1.79535260e+05  8.5819e+00  -1.6868e+00  -8.7262e+01  5.1375e+01
1.77800397e+05  8.4917e+00  1.3841e+01  -7.6751e+01  -3.0448e+01
1.76082297e+05  1.1038e+01  3.0120e+01  -7.9166e+01  -1.1234e+02
1.74380800e+05  1.0697e+01  4.6457e+01  -8.4860e+01  1.3029e+02
1.72695745e+05  1.1666e+01  6.4671e+01  -8.8461e+01  1.5510e+02
1.71026972e+05  1.0217e+01  7.9503e+01  -7.8659e+01  7.2628e+01
1.69374325e+05  8.0611e+00  8.3971e+01  -9.6984e+01  -3.9545e-01
1.67737648e+05  5.9682e+00  8.0999e+01  -7.9522e+01  1.1448e+02
1.66116785e+05  4.6623e+00  6.2132e+01  -8.1462e+01  1.6751e+02
1.64511586e+05  7.8999e+00  4.5725e+01  -7.8525e+01  -9.9955e+01
1.62921897e+05  1.2226e+01  5.0236e+01  -8.2831e+01  -7.7299e+01
1.61347570e+05  1.3740e+01  7.6131e+01  -7.7595e+01  2.5018e+01
1.59788456e+05  1.2701e+01  9.1038e+01  -7.9691e+01  -1.0008e+02
1.58244407e+05  1.1375e+01  9.6130e+01  -8.8755e+01  1.0894e+02
1.56715279e+05  1.0846e+01  9.1814e+01  -7.8859e+01  5.9138e+00
1.55200927e+05  1.2666e+01  9.0607e+01  -7.9982e+01  5.8368e+01
1.53701208e+05  1.3068e+01  1.0528e+02  -8.9291e+01  -4.1317e+00
1.52215981e+05  1.2675e+01  1.1014e+02  -7.7120e+01  -4.4919e+01
1.50745106e+05  1.2397e+01  1.1894e+02  -8.0384e+01  1.6018e+02
1.49288445e+05  1.1687e+01  1.2258e+02  -7.9211e+01  -7.1634e+01
1.47845858e+05  1.1614e+01  1.2551e+02  -7.9622e+01  1.1652e+02
1.46417212e+05  1.0989e+01  1.2811e+02  -7.8757e+01  -7.0876e+01
1.45002371e+05  1.0673e+01  1.2998e+02  -8.4587e+01  -3.1842e+01
1.43601202e+05  1.0150e+01  1.3146e+02  -8.4281e+01  -1.6814e+02
1.42213572e+05  9.7865e+00  1.2935e+02  -9.1138e+01  1.5229e+02
1.40839351e+05  1.0026e+01  1.2862e+02  -9.0167e+01  1.2564e+02
1.39478409e+05  1.0697e+01  1.2920e+02  -7.8444e+01  -1.7500e+02
1.38130618e+05  1.0440e+01  1.3429e+02  -8.1476e+01  -1.6164e+02
1.36795851e+05  1.0347e+01  1.3676e+02  -8.7259e+01  -4.1379e+01
1.35473982e+05  1.0221e+01  1.3498e+02  -8.0736e+01  3.3747e+01
1.34164887e+05  1.0951e+01  1.3686e+02  -8.0513e+01  -1.2874e+02
1.32868441e+05  1.1341e+01  1.4279e+02  -7.9979e+01  1.0333e+02
1.31584522e+05  1.0838e+01  1.4936e+02  -8.4349e+01  -9.7466e+01
1.30313011e+05  1.0307e+01  1.5070e+02  -8.8128e+01  2.6727e-01
1.29053786e+05  1.0316e+01  1.5050e+02  -8.1093e+01  -1.5896e+02
1.27806729e+05  1.0318e+01  1.5315e+02  -7.8672e+01  -4.3530e+01
1.26571722e+05  1.0700e+01  1.5544e+02  -7.4728e+01  1.1625e+01
1.25348650e+05  1.0665e+01  1.5974e+02  -8.2255e+01  1.3577e+02
1.24137396e+05  9.8446e+00  1.5970e+02  -8.5073e+01  -1.7771e+02
1.22937847e+05  1.0032e+01  1.6096e+02  -8.2227e+01  -9.6612e+01
1.21749888e+05  1.0370e+01  1.5853e+02  -8.6085e+01  1.2441e+02
1.20573410e+05  1.0579e+01  1.5952e+02  -9.1222e+01  -1.2723e+02
1.19408299e+05  1.1661e+01  1.6734e+02  -1.0415e+02  -1.4574e+02
1.18254447e+05  1.1751e+01  1.7124e+02  -8.3150e+01  -1.6781e+02
1.17111745e+05  1.1981e+01  -1.7801e+02  -7.7627e+01  -3.8308e+01
1.15980085e+05  9.6766e+00  -1.6899e+02  -9.1640e+01  -2.4532e+01
1.14859361e+05  7.8111e+00  -1.7623e+02  -7.7739e+01  1.4587e+02
1.13749466e+05  8.5755e+00  1.7641e+02  -8.0259e+01  1.2829e+02
1.12650295e+05  9.0857e+00  1.7693e+02  -8.0396e+01  1.6144e+02
1.11561747e+05  9.1236e+00  1.7810e+02  -7.8149e+01  1.3946e+02
1.10483717e+05  9.2726e+00  1.7857e+02  -7.6525e+01  5.3627e+01
1.09416104e+05  9.1831e+00  -1.7921e+02  -7.9031e+01  -1.2895e+02
1.08358808e+05  8.8903e+00  -1.7902e+02  -8.2187e+01  -1.1784e+02
1.07311728e+05  9.1423e+00  -1.7907e+02  -7.9801e+01  3.9744e+01
1.06274766e+05  9.2064e+00  -1.7883e+02  -7.9465e+01  1.1197e+02
1.05247825e+05  9.2163e+00  -1.7725e+02  -7.8275e+01  -1.5602e+02
1.04230807e+05  9.1506e+00  -1.7793e+02  -7.5125e+01  1.0125e+02
1.03223616e+05  1.0008e+01  -1.7721e+02  -8.4255e+01  1.0185e+02
1.02226158e+05  9.8708e+00  -1.7223e+02  -7.9355e+01  8.4699e+01
1.01238339e+05  9.8083e+00  -1.7095e+02  -8.5421e+01  1.1777e+02
1.00260065e+05  9.8880e+00  -1.6959e+02  -1.0415e+02  -1.1010e+02
9.92912437e+04  9.6980e+00  -1.6833e+02  -8.2548e+01  1.4140e+02
9.83317846e+04  1.0072e+01  -1.6722e+02  -8.0170e+01  1.7821e+02
9.73815968e+04  9.7568e+00  -1.6199e+02  -7.6985e+01  -1.6241e+02
9.64405908e+04  9.7466e+00  -1.6321e+02  -7.8296e+01  -1.0801e+02
9.55086777e+04  9.7529e+00  -1.5709e+02  -8.4857e+01  -1.3475e+02
9.45857698e+04  8.9591e+00  -1.5268e+02  -7.8522e+01  2.6651e+01
9.36717801e+04  7.8765e+00  -1.5429e+02  -8.3584e+01  3.9060e+01
9.27666223e+04  7.7308e+00  -1.6056e+02  -9.6986e+01  -5.3321e+00
9.18702111e+04  8.2693e+00  -1.6283e+02  -7.9724e+01  5.9666e+01
9.09824620e+04  8.5450e+00  -1.6186e+02  -7.3148e+01  1.3780e+02
9.01032913e+04  8.9116e+00  -1.6154e+02  -8.4659e+01  -1.7963e+02
8.92326160e+04  8.7898e+00  -1.6132e+02  -7.8386e+01  -5.5323e+01
8.83703542e+04  9.4893e+00  -1.6105e+02  -8.4234e+01  -1.5587e+02
8.75164245e+04  9.7061e+00  -1.5839e+02  -8.7059e+01  -1.7436e+02
8.66707464e+04  9.6672e+00  -1.5716e+02  -8.5573e+01  -6.5980e+01
8.58332401e+04  9.7331e+00  -1.5578e+02  -7.4637e+01  -1.1911e+02
8.50038268e+04  9.5181e+00  -1.5615e+02  -7.9987e+01  1.0241e+01
8.41824281e+04  1.0082e+01  -1.5686e+02  -8.0239e+01  -8.1305e+01
8.33689666e+04  1.1015e+01  -1.5619e+02  -8.0403e+01  -1.2017e+02
